texto,sector,funcion,actor,instrumento,has_authority
"La Secretaría de Salud coordinará el sistema nacional de vigilancia epidemiológica.",Salud_humana,vigilancia,Secretaría de Salud,Ley General de Salud,TRUE
"El SENASICA mantendrá programas de vigilancia de enfermedades animales transmisibles al ser humano.",Salud_animal,vigilancia,SENASICA,Ley Federal de Sanidad Animal,TRUE
"Las unidades médicas deberán notificar los casos sospechosos de enfermedades emergentes.",Salud_humana,notificacion,Instituciones de Salud,Ley General de Salud,TRUE
"La autoridad portuaria realizará inspecciones sanitarias en embarcaciones internacionales.",Puntos_de_entrada,poe,Autoridad Sanitaria Portuaria,Ley de Puertos,TRUE
"Los aeropuertos internacionales contarán con personal capacitado para revisión sanitaria.",Transporte,poe,Secretaría de Infraestructura, Comunicaciones y Transportes,Ley de Aeropuertos,TRUE
"El Instituto Nacional de Diagnóstico y Referencia Epidemiológicos analizará las muestras biológicas remitidas.",Ciencia_Tecnologia_Laboratorios,deteccion,InDRE,Reglamento Interior de la Secretaría de Salud,TRUE
"El Presidente podrá declarar emergencia sanitaria general cuando exista riesgo grave a la salud pública.",Salud_humana,respuesta,Presidencia,Ley General de Salud,TRUE
"El Comité Nacional para la Seguridad en Salud coordinará la respuesta intersectorial ante emergencias.",Proteccion_civil,coordinacion,Comité Nacional de Seguridad en Salud,Acuerdo Interinstitucional,TRUE
"La Secretaría de Bienestar apoyará con recursos sociales a comunidades afectadas por emergencias sanitarias.",Proteccion_civil,respuesta,Secretaría de Bienestar,Ley de Desarrollo Social,TRUE
"Los gobiernos estatales deberán informar al Punto Focal Nacional RSI sobre brotes epidémicos.",Relaciones_exteriores,notificacion,Gobiernos Estatales,Reglamento Sanitario Internacional,TRUE
"La SEMARNAT gestionará la disposición final de residuos biológicos infecciosos durante emergencias.",Medio_ambiente,respuesta,SEMARNAT,Ley General del Equilibrio Ecológico y la Protección al Ambiente,TRUE
"El IMSS deberá mantener la vigilancia epidemiológica en sus unidades hospitalarias.",Salud_humana,vigilancia,IMSS,Ley del Seguro Social,TRUE
"La SEP incluirá contenidos de salud pública en los planes de estudio de nivel superior.",Educacion,recursos_humanos,SEP,Ley General de Educación,TRUE
"El SHCP asegurará el financiamiento oportuno para programas de emergencia sanitaria.",Finanzas_publicas,legislacion_financiamiento,SHCP,Ley Federal de Presupuesto y Responsabilidad Hacendaria,TRUE
"El InDRE validará los protocolos de diagnóstico para nuevas enfermedades infecciosas.",Ciencia_Tecnologia_Laboratorios,deteccion,InDRE,NOM-087-SSA1-2002,TRUE
"El COFEPRIS supervisará la inocuidad de alimentos importados durante contingencias.",Inocuidad_alimentaria,vigilancia,COFEPRIS,Ley Federal de Sanidad Animal,TRUE
"La Secretaría de Agricultura y Desarrollo Rural controlará plagas de impacto sanitario.",Agricultura,amenazas_especificas,SADER,Ley Federal de Sanidad Vegetal,TRUE
"El Ejército apoyará las tareas de control sanitario en fronteras cuando lo solicite la autoridad de salud.",Defensa_seguridad,coordinacion,SEDENA,Ley de Seguridad Nacional,TRUE
"Las autoridades migratorias verificarán certificados de vacunación en viajeros internacionales.",Aduanas_Comercio,poe,Instituto Nacional de Migración,Ley de Migración,TRUE
"El Instituto Nacional de Ecología evaluará riesgos por contaminación química durante emergencias.",Medio_ambiente,amenazas_especificas,INECC,Ley General del Equilibrio Ecológico y la Protección al Ambiente,TRUE
"Los laboratorios privados que procesen muestras de enfermedades deberán reportar resultados al InDRE.",Ciencia_Tecnologia_Laboratorios,vigilancia,InDRE,Reglamento Interior de la Secretaría de Salud,TRUE
"La Secretaría de Marina reforzará medidas sanitarias en puertos navales durante brotes internacionales.",Defensa_seguridad,respuesta,SEMAR,Ley de Puertos,TRUE
"Las aduanas aplicarán protocolos de control sanitario en la importación de productos animales.",Aduanas_Comercio,poe,Aduanas,Ley Aduanera,TRUE
"El Consejo de Salubridad General podrá emitir disposiciones obligatorias en casos de epidemia.",Salud_humana,respuesta,Consejo de Salubridad General,Constitución Política de los Estados Unidos Mexicanos,TRUE
"La Secretaría de Salud comunicará al público las medidas preventivas durante epidemias.",Salud_humana,comunicacion_riesgo,Secretaría de Salud,Ley General de Salud,TRUE
"El InDRE capacitará al personal estatal en técnicas de laboratorio de biocontención.",Ciencia_Tecnologia_Laboratorios,recursos_humanos,InDRE,Programa Nacional de Capacitación,TRUE
"El SHCP habilitará recursos extraordinarios del Fondo de Desastres Naturales para emergencias sanitarias.",Finanzas_publicas,legislacion_financiamiento,SHCP,Presupuesto de Egresos de la Federación,TRUE
"La Secretaría de Agricultura supervisará el transporte internacional de animales vivos.",Agricultura,poe,SADER,Ley Federal de Sanidad Animal,TRUE
"La SEMARNAT controlará el uso de sustancias químicas peligrosas.",Medio_ambiente,amenazas_especificas,SEMARNAT,Ley General del Equilibrio Ecológico y la Protección al Ambiente,TRUE
"La SEP desarrollará programas de capacitación en salud pública para servidores públicos.",Educacion,recursos_humanos,SEP,Plan Nacional de Formación,TRUE
"El IMSS notificará a la Secretaría de Salud los brotes en sus unidades médicas.",Salud_humana,notificacion,IMSS,Ley del Seguro Social,TRUE
"El InDRE garantizará la calidad de las pruebas de diagnóstico de influenza.",Ciencia_Tecnologia_Laboratorios,deteccion,InDRE,Manual Técnico de Laboratorios,TRUE
"La COFEPRIS realizará inspecciones de inocuidad alimentaria en establecimientos comerciales.",Inocuidad_alimentaria,vigilancia,COFEPRIS,Ley General de Salud,TRUE
"El CNSS activará protocolos de respuesta ante eventos de salud pública de importancia internacional.",Proteccion_civil,coordinacion,Comité Nacional de Seguridad en Salud,Acuerdo Interinstitucional,TRUE
"La SEMARNAT coordinará la disposición final de residuos infecciosos hospitalarios.",Medio_ambiente,respuesta,SEMARNAT,Ley General de Residuos,TRUE
"Las aduanas coordinarán con la COFEPRIS el control de insumos médicos importados.",Aduanas_Comercio,coordinacion,Aduanas,Ley Aduanera,TRUE
"El Ejército instalará hospitales móviles cuando lo determine la Secretaría de Salud.",Defensa_seguridad,respuesta,SEDENA,Ley de Seguridad Nacional,TRUE
"El SICT implementará medidas sanitarias en aeropuertos internacionales.",Transporte,poe,SICT,Ley de Aeropuertos,TRUE
"El SENASICA certificará plantas procesadoras de alimentos para exportación.",Inocuidad_alimentaria,deteccion,SENASICA,Ley Federal de Sanidad Animal,TRUE
"El IMSS y el ISSSTE coordinarán programas de vacunación nacional.",Salud_humana,coordinacion,IMSS,Ley General de Salud,TRUE
"El SHCP establecerá mecanismos financieros de respuesta rápida ante emergencias de salud.",Finanzas_publicas,legislacion_financiamiento,SHCP,Ley Federal de Presupuesto y Responsabilidad Hacendaria,TRUE
"La SEP desarrollará diplomados sobre vigilancia epidemiológica.",Educacion,recursos_humanos,SEP,Ley General de Educación,TRUE
"La SSA comunicará alertas sanitarias a los gobiernos estatales y al público.",Salud_humana,comunicacion_riesgo,Secretaría de Salud,Ley General de Salud,TRUE
"El SADER mantendrá registro nacional de brotes zoonóticos.",Agricultura,vigilancia,SADER,Ley Federal de Sanidad Animal,TRUE
"El IMSS desarrollará simulacros anuales de contingencia sanitaria.",Salud_humana,preparacion,IMSS,Ley del Seguro Social,TRUE
"La SEMARNAT coordinará simulacros ambientales por derrames tóxicos.",Medio_ambiente,preparacion,SEMARNAT,Ley General del Equilibrio Ecológico y la Protección al Ambiente,TRUE
"El Ejército colaborará con Protección Civil en transporte de insumos médicos.",Defensa_seguridad,coordinacion,SEDENA,Ley de Seguridad Nacional,TRUE
"Los aeropuertos deberán tener áreas de aislamiento sanitario.",Transporte,poe,SICT,Ley de Aeropuertos,TRUE
"La COFEPRIS comunicará al público la lista de productos sanitizados autorizados.",Inocuidad_alimentaria,comunicacion_riesgo,COFEPRIS,Ley General de Salud,TRUE
"La SEP promoverá la formación de epidemiólogos en universidades públicas.",Educacion,recursos_humanos,SEP,Ley General de Educación,TRUE
"La SSA coordinará con SEMARNAT acciones para control de residuos biológicos infecciosos.",Medio_ambiente,coordinacion,SEMARNAT,Ley General de Salud,TRUE
"El CNSS integrará representantes de todas las dependencias federales.",Proteccion_civil,coordinacion,Comité Nacional de Seguridad en Salud,Acuerdo Interinstitucional,TRUE
"El InDRE recibirá notificaciones de laboratorios estatales ante brotes.",Ciencia_Tecnologia_Laboratorios,notificacion,InDRE,Reglamento Interior de la Secretaría de Salud,TRUE
"El FONDO de Desastres Naturales asignará recursos a estados afectados por epidemias.",Finanzas_publicas,legislacion_financiamiento,SHCP,Presupuesto de Egresos de la Federación,TRUE
"La Secretaría de Salud podrá emitir normas oficiales mexicanas en materia sanitaria.",Salud_humana,legislacion_financiamiento,Secretaría de Salud,Ley General de Salud,TRUE
"El Ejército y la Marina colaborarán en evacuaciones médicas durante emergencias.",Defensa_seguridad,respuesta,SEDENA,Ley de Seguridad Nacional,TRUE
"La Secretaría de Agricultura controlará el transporte de productos agrícolas potencialmente contaminados.",Agricultura,poe,SADER,Ley Federal de Sanidad Vegetal,TRUE
"El IMSS establecerá brigadas médicas en zonas rurales durante emergencias.",Salud_humana,respuesta,IMSS,Ley del Seguro Social,TRUE
"El CNSS validará los informes de capacidad de respuesta estatal.",Proteccion_civil,preparacion,Comité Nacional de Seguridad en Salud,Ley General de Protección Civil,TRUE
"El SADER inspeccionará granjas avícolas para prevenir brotes de influenza.",Agricultura,vigilancia,SADER,Ley Federal de Sanidad Animal,TRUE
